0003|add [ebx],al
000424|add [esp],al
000500000000|add [0x0],al
0006|add [esi],al
0007|add [edi],al
000b|add [ebx],cl
000c24|add [esp],cl
000d00000000|add [0x0],cl
000e|add [esi],cl
000f|add [edi],cl
0013|add [ebx],dl
001424|add [esp],dl
001500000000|add [0x0],dl
0016|add [esi],dl
0017|add [edi],dl
001b|add [ebx],bl
001c24|add [esp],bl
001d00000000|add [0x0],bl
001e|add [esi],bl
001f|add [edi],bl
0023|add [ebx],ah
002424|add [esp],ah
002500000000|add [0x0],ah
0026|add [esi],ah
0027|add [edi],ah
002b|add [ebx],ch
002c24|add [esp],ch
002d00000000|add [0x0],ch
002e|add [esi],ch
002f|add [edi],ch
0033|add [ebx],dh
003424|add [esp],dh
003500000000|add [0x0],dh
0036|add [esi],dh
0037|add [edi],dh
003b|add [ebx],bh
003c24|add [esp],bh
003d00000000|add [0x0],bh
003e|add [esi],bh
003f|add [edi],bh
004500|add [ebp],al
004d00|add [ebp],cl
005500|add [ebp],dl
005d00|add [ebp],bl
006500|add [ebp],ah
006d00|add [ebp],ch
007500|add [ebp],dh
007d00|add [ebp],bh
00c0|add al,al
00c1|add cl,al
00c2|add dl,al
00c3|add bl,al
00c4|add ah,al
00c5|add ch,al
00c6|add dh,al
00c7|add bh,al
00c8|add al,cl
00c9|add cl,cl
00ca|add dl,cl
00cb|add bl,cl
00cc|add ah,cl
00cd|add ch,cl
00ce|add dh,cl
00cf|add bh,cl
00d0|add al,dl
00d1|add cl,dl
00d2|add dl,dl
00d3|add bl,dl
00d4|add ah,dl
00d5|add ch,dl
00d6|add dh,dl
00d7|add bh,dl
00d8|add al,bl
00d9|add cl,bl
00da|add dl,bl
00db|add bl,bl
00dc|add ah,bl
00dd|add ch,bl
00de|add dh,bl
00df|add bh,bl
00e0|add al,ah
00e1|add cl,ah
00e2|add dl,ah
00e3|add bl,ah
00e4|add ah,ah
00e5|add ch,ah
00e6|add dh,ah
00e7|add bh,ah
00e8|add al,ch
00e9|add cl,ch
00ea|add dl,ch
00eb|add bl,ch
00ec|add ah,ch
00ed|add ch,ch
00ee|add dh,ch
00ef|add bh,ch
00f0|add al,dh
00f1|add cl,dh
00f2|add dl,dh
00f3|add bl,dh
00f4|add ah,dh
00f5|add ch,dh
00f6|add dh,dh
00f7|add bh,dh
00f8|add al,bh
00f9|add cl,bh
00fa|add dl,bh
00fb|add bl,bh
00fc|add ah,bh
00fd|add ch,bh
00fe|add dh,bh
00ff|add bh,bh
0103|add [ebx],eax
010424|add [esp],eax
010500000000|add [0x0],eax
0106|add [esi],eax
0107|add [edi],eax
010b|add [ebx],ecx
010c24|add [esp],ecx
010d00000000|add [0x0],ecx
010e|add [esi],ecx
010f|add [edi],ecx
011b|add [ebx],ebx
011c24|add [esp],ebx
011d00000000|add [0x0],ebx
011e|add [esi],ebx
011f|add [edi],ebx
0123|add [ebx],esp
012424|add [esp],esp
012500000000|add [0x0],esp
0126|add [esi],esp
0127|add [edi],esp
012b|add [ebx],ebp
012c24|add [esp],ebp
012d00000000|add [0x0],ebp
012e|add [esi],ebp
012f|add [edi],ebp
0133|add [ebx],esi
013424|add [esp],esi
013500000000|add [0x0],esi
0136|add [esi],esi
0137|add [edi],esi
013b|add [ebx],edi
013c24|add [esp],edi
013d00000000|add [0x0],edi
013e|add [esi],edi
013f|add [edi],edi
014500|add [ebp],eax
014d00|add [ebp],ecx
015d00|add [ebp],ebx
016500|add [ebp],esp
016d00|add [ebp],ebp
017500|add [ebp],esi
017d00|add [ebp],edi
01c0|add eax,eax
01c1|add ecx,eax
01c3|add ebx,eax
01c4|add esp,eax
01c5|add ebp,eax
01c6|add esi,eax
01c7|add edi,eax
01c8|add eax,ecx
01c9|add ecx,ecx
01cb|add ebx,ecx
01cc|add esp,ecx
01cd|add ebp,ecx
01ce|add esi,ecx
01cf|add edi,ecx
01d8|add eax,ebx
01d9|add ecx,ebx
01db|add ebx,ebx
01dc|add esp,ebx
01dd|add ebp,ebx
01de|add esi,ebx
01df|add edi,ebx
01e0|add eax,esp
01e1|add ecx,esp
01e3|add ebx,esp
01e4|add esp,esp
01e5|add ebp,esp
01e6|add esi,esp
01e7|add edi,esp
