adc hl,bc|ed4a
adc hl,hl|ed6a
adc hl,de|ed5a
adc hl,sp|ed7a
add | dd85
add /bin/sh | c600
add [/bin/sh] | dd85
add [/bin/sh],/bin/sh|dd85
add [/bin/sh],[/bin/sh]|dd85
add [/bin/sh],af|dd85
add [/bin/sh],bc|dd85
add [/bin/sh],hl|dd85
add [/bin/sh],de|dd85
add [/bin/sh],sp|dd85
add [/bin/sh],ix|dd85
add [/bin/sh],iy|dd85
add [/bin/sh],[af]|dd85
add [/bin/sh],[bc]|dd85
add [/bin/sh],[hl]|dd85
add [/bin/sh],[de]|dd85
add [/bin/sh],[sp]|dd85
add [/bin/sh],[ix]|dd85
add [/bin/sh],[iy]|dd85
add hl,bc|09
add hl,hl|29
add hl,de|19
add hl,sp|39
add ix,bc|dd09
add ix,de|dd19
add ix,sp|dd39
add ix,ix|dd29
add iy,bc|fd09
add iy,de|fd19
add iy,sp|fd39
add iy,iy|fd29
add [af] | dd85
add [af],/bin/sh|dd85
add [af],[/bin/sh]|dd85
add [af],af|dd85
add [af],bc|dd85
add [af],hl|dd85
add [af],de|dd85
add [af],sp|dd85
add [af],ix|dd85
add [af],iy|dd85
add [af],[af]|dd85
add [af],[bc]|dd85
add [af],[hl]|dd85
add [af],[de]|dd85
add [af],[sp]|dd85
add [af],[ix]|dd85
add [af],[iy]|dd85
add [bc] | dd85
add [bc],/bin/sh|dd85
add [bc],[/bin/sh]|dd85
add [bc],af|dd85
add [bc],bc|dd85
add [bc],hl|dd85
add [bc],de|dd85
add [bc],sp|dd85
add [bc],ix|dd85
add [bc],iy|dd85
add [bc],[af]|dd85
add [bc],[bc]|dd85
add [bc],[hl]|dd85
add [bc],[de]|dd85
add [bc],[sp]|dd85
add [bc],[ix]|dd85
add [bc],[iy]|dd85
add [hl] | dd85
add [hl],/bin/sh|dd85
add [hl],[/bin/sh]|dd85
add [hl],af|dd85
add [hl],bc|dd85
add [hl],hl|dd85
add [hl],de|dd85
add [hl],sp|dd85
add [hl],ix|dd85
add [hl],iy|dd85
add [hl],[af]|dd85
add [hl],[bc]|dd85
add [hl],[hl]|dd85
add [hl],[de]|dd85
add [hl],[sp]|dd85
add [hl],[ix]|dd85
add [hl],[iy]|dd85
add [de] | dd85
add [de],/bin/sh|dd85
add [de],[/bin/sh]|dd85
add [de],af|dd85
add [de],bc|dd85
add [de],hl|dd85
add [de],de|dd85
add [de],sp|dd85
add [de],ix|dd85
add [de],iy|dd85
add [de],[af]|dd85
add [de],[bc]|dd85
add [de],[hl]|dd85
add [de],[de]|dd85
add [de],[sp]|dd85
add [de],[ix]|dd85
add [de],[iy]|dd85
add [sp] | dd85
add [sp],/bin/sh|dd85
add [sp],[/bin/sh]|dd85
add [sp],af|dd85
add [sp],bc|dd85
add [sp],hl|dd85
add [sp],de|dd85
add [sp],sp|dd85
add [sp],ix|dd85
add [sp],iy|dd85
add [sp],[af]|dd85
add [sp],[bc]|dd85
add [sp],[hl]|dd85
add [sp],[de]|dd85
add [sp],[sp]|dd85
add [sp],[ix]|dd85
add [sp],[iy]|dd85
add [ix] | dd85
add [ix],/bin/sh|dd85
add [ix],[/bin/sh]|dd85
add [ix],af|dd85
add [ix],bc|dd85
add [ix],hl|dd85
add [ix],de|dd85
add [ix],sp|dd85
add [ix],ix|dd85
add [ix],iy|dd85
add [ix],[af]|dd85
add [ix],[bc]|dd85
add [ix],[hl]|dd85
add [ix],[de]|dd85
add [ix],[sp]|dd85
add [ix],[ix]|dd85
add [ix],[iy]|dd85
add [iy] | dd85
add [iy],/bin/sh|dd85
add [iy],[/bin/sh]|dd85
add [iy],af|dd85
add [iy],bc|dd85
add [iy],hl|dd85
add [iy],de|dd85
add [iy],sp|dd85
add [iy],ix|dd85
add [iy],iy|dd85
add [iy],[af]|dd85
add [iy],[bc]|dd85
add [iy],[hl]|dd85
add [iy],[de]|dd85
add [iy],[sp]|dd85
add [iy],[ix]|dd85
add [iy],[iy]|dd85
sub | dd95
sub /bin/sh | d600
sub [/bin/sh] | dd95
sub [/bin/sh],/bin/sh|dd95
sub [/bin/sh],[/bin/sh]|dd95
sub [/bin/sh],af|dd95
sub [/bin/sh],bc|dd95
sub [/bin/sh],hl|dd95
sub [/bin/sh],de|dd95
sub [/bin/sh],sp|dd95
sub [/bin/sh],ix|dd95
sub [/bin/sh],iy|dd95
sub [/bin/sh],[af]|dd95
sub [/bin/sh],[bc]|dd95
sub [/bin/sh],[hl]|dd95
sub [/bin/sh],[de]|dd95
sub [/bin/sh],[sp]|dd95
sub [/bin/sh],[ix]|dd95
sub [/bin/sh],[iy]|dd95
sub [af] | dd95
sub [af],/bin/sh|dd95
sub [af],[/bin/sh]|dd95
sub [af],af|dd95
sub [af],bc|dd95
sub [af],hl|dd95
sub [af],de|dd95
sub [af],sp|dd95
sub [af],ix|dd95
sub [af],iy|dd95
sub [af],[af]|dd95
sub [af],[bc]|dd95
sub [af],[hl]|dd95
sub [af],[de]|dd95
sub [af],[sp]|dd95
sub [af],[ix]|dd95
sub [af],[iy]|dd95
sub [bc] | dd95
sub [bc],/bin/sh|dd95
sub [bc],[/bin/sh]|dd95
sub [bc],af|dd95
sub [bc],bc|dd95
sub [bc],hl|dd95
sub [bc],de|dd95
sub [bc],sp|dd95
sub [bc],ix|dd95
sub [bc],iy|dd95
sub [bc],[af]|dd95
sub [bc],[bc]|dd95
sub [bc],[hl]|dd95
sub [bc],[de]|dd95
sub [bc],[sp]|dd95
sub [bc],[ix]|dd95
